UID,Recomend
5356,"[[50], [50, 29, 32, 53, 36, 35, 62, 7, 66, 89]]"
5357,"[[89], [89, 83, 50, 29, 35, 53, 87, 65, 76, 66]]"
5358,"[[81], [81, 29, 50, 13, 49, 53, 8, 46, 54, 31]]"
5359,"[[53], [53, 50, 27, 65, 54, 36, 35, 29, 31, 61]]"
5360,"[[83], [83, 91, 81, 65, 21, 100, 89, 98, 11, 34]]"
5361,"[[81], [81, 55, 10, 1, 89, 91, 2, 36, 50, 27]]"
5362,"[[19], [19, 84, 62, 90, 68, 63, 49, 73, 78, 28]]"
5363,"[[62], [62, 10, 48, 49, 68, 32, 38, 28, 60, 66]]"
5364,"[[89], [89, 76, 92, 97, 96, 62, 32, 93, 72, 68]]"
5365,"[[89], [89, 62, 68, 32, 50, 76, 71, 49, 47, 35]]"
5366,"[[53], [53, 65, 5, 27, 83, 49, 54, 50, 31, 62]]"
5367,"[[97], [97, 60, 94, 86, 89, 90, 63, 96, 88, 82]]"
5368,"[[27], [27, 61, 31, 54, 12, 62, 36, 34, 6, 47]]"
5369,"[[8], [8, 71, 95, 29, 91, 38, 89, 10, 94, 60]]"
5370,"[[50], [50, 62, 27, 72, 35, 89, 10, 36, 94, 71]]"
5371,"[[89], [89, 29, 50, 8, 35, 32, 36, 10, 53, 91]]"
5372,"[[100], [100, 41, 22, 89, 10, 55, 91, 94, 3, 21]]"
5373,"[[29], [29, 50, 5, 35, 36, 89, 1, 65, 2, 53]]"
5374,"[[27], [27, 31, 61, 5, 100, 11, 65, 3, 80, 54]]"
5375,"[[14], [14, 65, 54, 12, 47, 50, 11, 27, 34, 49]]"
5376,"[[62], [62, 49, 61, 54, 68, 6, 32, 28, 47, 53]]"
5377,"[[7], [7, 50, 29, 2, 69, 35, 89, 32, 56, 97]]"
5378,"[[29], [29, 50, 54, 48, 32, 89, 27, 49, 36, 14]]"
5379,"[[23], [23, 10, 38, 12, 25, 56, 22, 40, 27, 21]]"
5380,"[[100], [100, 31, 3, 50, 29, 36, 27, 60, 41, 2]]"
5381,"[[50], [50, 89, 36, 29, 72, 27, 87, 100, 93, 88]]"
5382,"[[91], [91, 50, 53, 87, 35, 36, 89, 27, 88, 94]]"
5383,"[[53], [53, 31, 36, 50, 61, 27, 35, 21, 66, 34]]"
5384,"[[89], [89, 97, 91, 54, 29, 50, 93, 53, 81, 32]]"
5385,"[[32], [32, 89, 62, 94, 54, 48, 68, 49, 47, 28]]"
5386,"[[81], [81, 50, 100, 46, 21, 2, 53, 42, 25, 98]]"
5387,"[[50], [50, 48, 31, 27, 49, 61, 66, 28, 35, 62]]"
5388,"[[62], [62, 6, 89, 19, 10, 18, 70, 23, 94, 68]]"
5389,"[[65], [65, 34, 98, 27, 21, 26, 31, 50, 42, 14]]"
5390,"[[50], [50, 53, 62, 65, 49, 35, 69, 36, 72, 27]]"
5391,"[[54], [54, 49, 62, 47, 42, 21, 12, 48, 14, 89]]"
5392,"[[62], [62, 89, 66, 68, 50, 27, 35, 49, 61, 31]]"
5393,"[[91], [91, 89, 93, 87, 50, 27, 88, 95, 94, 36]]"
5394,"[[50], [50, 89, 36, 15, 62, 88, 49, 32, 27, 29]]"
5395,"[[89], [89, 87, 88, 66, 50, 36, 27, 62, 32, 1]]"
5396,"[[34], [34, 14, 98, 21, 22, 12, 26, 51, 39, 52]]"
5397,"[[62], [62, 47, 49, 68, 28, 53, 66, 21, 61, 42]]"
5398,"[[65], [65, 27, 31, 50, 21, 100, 29, 36, 53, 42]]"
5399,"[[27], [27, 32, 54, 62, 78, 68, 89, 5, 20, 79]]"
5400,"[[50], [50, 29, 35, 32, 89, 62, 53, 36, 56, 69]]"
5401,"[[10], [10, 27, 65, 50, 36, 1, 31, 55, 34, 66]]"
5402,"[[7], [7, 10, 29, 50, 18, 35, 2, 95, 36, 44]]"
5403,"[[89], [89, 81, 83, 91, 62, 78, 76, 49, 88, 92]]"
5404,"[[89], [89, 75, 91, 47, 54, 41, 48, 28, 62, 76]]"
5405,"[[10], [10, 8, 16, 15, 18, 94, 38, 91, 86, 13]]"
5406,"[[10], [10, 6, 78, 34, 3, 22, 70, 40, 45, 11]]"
5407,"[[22], [22, 10, 65, 40, 50, 21, 14, 34, 42, 66]]"
5408,"[[32], [32, 36, 10, 62, 50, 18, 61, 53, 89, 68]]"
5409,"[[10], [10, 36, 94, 50, 89, 53, 76, 27, 62, 95]]"
5410,"[[50], [50, 89, 36, 27, 72, 31, 61, 35, 11, 53]]"
5411,"[[31], [31, 50, 49, 100, 27, 21, 69, 61, 53, 29]]"
5412,"[[49], [49, 50, 32, 54, 62, 53, 29, 27, 35, 68]]"
5413,"[[65], [65, 31, 27, 54, 21, 100, 49, 42, 14, 50]]"
5414,"[[62], [62, 50, 49, 54, 68, 32, 53, 69, 66, 89]]"
5415,"[[50], [50, 36, 29, 53, 46, 27, 69, 65, 35, 32]]"
5416,"[[63], [63, 10, 28, 48, 89, 62, 68, 60, 49, 11]]"
5417,"[[27], [27, 65, 54, 73, 78, 72, 80, 31, 53, 61]]"
5418,"[[89], [89, 91, 93, 94, 95, 97, 86, 88, 60, 96]]"
5419,"[[39], [39, 78, 42, 62, 21, 53, 68, 49, 19, 40]]"
5420,"[[14], [14, 21, 11, 65, 51, 52, 31, 34, 39, 6]]"
5421,"[[81], [81, 50, 13, 29, 97, 46, 60, 98, 94, 2]]"
5422,"[[89], [89, 76, 72, 78, 27, 53, 32, 73, 50, 97]]"
5423,"[[41], [41, 22, 25, 10, 4, 60, 6, 67, 11, 46]]"
5424,"[[31], [31, 6, 66, 61, 51, 11, 65, 22, 27, 12]]"
5425,"[[27], [27, 36, 50, 1, 87, 10, 29, 3, 35, 31]]"
5426,"[[65], [65, 27, 67, 100, 54, 73, 78, 62, 49, 50]]"
5427,"[[78], [78, 85, 73, 94, 77, 72, 82, 86, 84, 79]]"
5428,"[[81], [81, 31, 29, 27, 50, 65, 35, 14, 36, 53]]"
5429,"[[62], [62, 47, 89, 6, 49, 68, 48, 66, 54, 72]]"
5430,"[[27], [27, 31, 50, 65, 36, 61, 29, 100, 53, 5]]"
5431,"[[10], [10, 22, 11, 3, 41, 1, 60, 38, 46, 55]]"
5432,"[[5], [5, 21, 31, 27, 11, 53, 50, 100, 81, 6]]"
5433,"[[10], [10, 89, 50, 97, 60, 95, 91, 1, 36, 38]]"
5434,"[[89], [89, 35, 62, 54, 50, 29, 55, 69, 53, 91]]"
5435,"[[10], [10, 1, 94, 60, 64, 97, 91, 3, 88, 8]]"
5436,"[[62], [62, 61, 54, 68, 47, 49, 32, 89, 28, 66]]"
5437,"[[62], [62, 32, 89, 68, 48, 47, 28, 49, 63, 61]]"
5438,"[[65], [65, 31, 53, 21, 36, 14, 29, 27, 50, 42]]"
5439,"[[50], [50, 53, 98, 36, 72, 35, 29, 49, 27, 100]]"
5440,"[[98], [98, 65, 100, 21, 50, 53, 27, 31, 42, 72]]"
5441,"[[50], [50, 62, 35, 89, 32, 68, 29, 49, 47, 71]]"
5442,"[[100], [100, 83, 21, 39, 14, 73, 5, 80, 11, 65]]"
5443,"[[8], [8, 10, 50, 29, 81, 22, 32, 46, 60, 89]]"
5444,"[[2], [2, 29, 81, 50, 35, 56, 1, 89, 14, 38]]"
5445,"[[54], [54, 89, 50, 49, 62, 65, 27, 53, 29, 35]]"
5446,"[[91], [91, 89, 94, 86, 97, 95, 88, 96, 60, 82]]"
5447,"[[80], [80, 53, 89, 61, 54, 32, 73, 72, 62, 6]]"
5448,"[[89], [89, 97, 50, 62, 32, 68, 63, 29, 35, 49]]"
5449,"[[50], [50, 62, 56, 35, 53, 66, 36, 32, 12, 54]]"
5450,"[[55], [55, 65, 14, 54, 62, 91, 22, 47, 53, 10]]"
5451,"[[89], [89, 62, 78, 72, 3, 10, 7, 76, 50, 57]]"
5452,"[[21], [21, 100, 42, 50, 49, 31, 39, 22, 61, 6]]"
5453,"[[50], [50, 32, 53, 89, 36, 54, 72, 27, 76, 29]]"
5454,"[[10], [10, 62, 97, 38, 54, 47, 89, 32, 68, 28]]"
5455,"[[100], [100, 27, 31, 21, 85, 36, 51, 50, 52, 65]]"
5456,"[[29], [29, 50, 35, 2, 53, 89, 31, 36, 32, 76]]"
5457,"[[60], [60, 63, 23, 94, 28, 86, 90, 47, 62, 48]]"
5458,"[[50], [50, 62, 35, 36, 66, 32, 89, 53, 68, 72]]"
5459,"[[35], [35, 29, 50, 53, 32, 89, 87, 66, 36, 62]]"
5460,"[[50], [50, 62, 49, 97, 81, 29, 28, 27, 53, 5]]"
5461,"[[48], [48, 25, 63, 2, 50, 28, 40, 49, 68, 62]]"
5462,"[[81], [81, 83, 100, 5, 82, 78, 72, 79, 54, 21]]"
5463,"[[50], [50, 87, 100, 89, 62, 49, 36, 53, 27, 85]]"
5464,"[[29], [29, 50, 56, 21, 42, 36, 2, 53, 35, 14]]"
5465,"[[100], [100, 27, 78, 50, 89, 72, 3, 31, 61, 53]]"
5466,"[[2], [2, 81, 41, 14, 50, 100, 25, 31, 21, 83]]"
5467,"[[3], [3, 100, 11, 6, 61, 41, 31, 23, 83, 51]]"
5468,"[[83], [83, 89, 84, 54, 91, 72, 49, 85, 97, 94]]"
5469,"[[61], [61, 54, 62, 49, 69, 50, 31, 27, 36, 68]]"
5470,"[[62], [62, 49, 72, 89, 27, 68, 32, 61, 78, 31]]"
5471,"[[89], [89, 47, 97, 28, 63, 62, 48, 71, 93, 96]]"
5472,"[[94], [94, 10, 86, 97, 22, 60, 95, 50, 91, 41]]"
5473,"[[97], [97, 47, 67, 9, 55, 62, 94, 86, 63, 89]]"
5474,"[[53], [53, 27, 31, 36, 62, 49, 50, 61, 66, 32]]"
5475,"[[89], [89, 81, 8, 76, 5, 91, 83, 29, 78, 11]]"
5476,"[[10], [10, 91, 65, 95, 27, 94, 38, 55, 8, 50]]"
5477,"[[53], [53, 65, 54, 72, 89, 27, 31, 50, 32, 21]]"
5478,"[[62], [62, 49, 48, 68, 47, 28, 54, 56, 6, 69]]"
5479,"[[89], [89, 32, 50, 27, 36, 35, 29, 54, 72, 62]]"
5480,"[[6], [6, 61, 31, 65, 27, 54, 80, 73, 53, 32]]"
5481,"[[62], [62, 47, 54, 49, 53, 68, 89, 32, 42, 97]]"
5482,"[[14], [14, 21, 11, 83, 39, 42, 22, 25, 40, 26]]"
5483,"[[89], [89, 62, 91, 32, 50, 68, 53, 54, 36, 93]]"
5484,"[[89], [89, 8, 81, 5, 91, 88, 83, 76, 32, 54]]"
5485,"[[32], [32, 50, 53, 89, 62, 49, 68, 54, 35, 29]]"
5486,"[[2], [2, 98, 50, 21, 29, 3, 42, 35, 12, 26]]"
5487,"[[89], [89, 19, 20, 62, 93, 91, 92, 68, 18, 90]]"
5488,"[[62], [62, 89, 68, 49, 93, 95, 47, 53, 50, 72]]"
5489,"[[50], [50, 54, 27, 65, 36, 32, 62, 42, 46, 49]]"
5490,"[[60], [60, 97, 50, 32, 89, 62, 10, 63, 41, 68]]"
5491,"[[14], [14, 49, 72, 42, 47, 89, 21, 26, 50, 54]]"
5492,"[[65], [65, 83, 53, 14, 72, 35, 50, 42, 98, 26]]"
5493,"[[89], [89, 27, 50, 35, 87, 71, 36, 88, 29, 72]]"
5494,"[[60], [60, 62, 68, 8, 49, 32, 91, 89, 10, 50]]"
5495,"[[65], [65, 53, 54, 14, 31, 76, 27, 61, 50, 89]]"
5496,"[[10], [10, 1, 50, 18, 89, 15, 88, 36, 7, 60]]"
5497,"[[29], [29, 50, 53, 65, 35, 36, 11, 31, 14, 21]]"
5498,"[[50], [50, 29, 53, 35, 83, 65, 69, 89, 72, 36]]"
5499,"[[29], [29, 50, 31, 7, 2, 36, 27, 100, 69, 5]]"
5500,"[[50], [50, 21, 94, 65, 36, 27, 42, 10, 62, 91]]"
5501,"[[60], [60, 94, 10, 63, 86, 97, 89, 88, 62, 48]]"
5502,"[[50], [50, 53, 29, 36, 65, 27, 21, 35, 31, 54]]"
5503,"[[29], [29, 50, 10, 18, 1, 15, 44, 7, 35, 46]]"
5504,"[[50], [50, 62, 53, 36, 89, 27, 32, 35, 49, 69]]"
5505,"[[29], [29, 27, 50, 36, 53, 35, 31, 32, 54, 5]]"
5506,"[[48], [48, 84, 71, 49, 62, 63, 50, 68, 72, 97]]"
5507,"[[62], [62, 68, 19, 32, 49, 66, 54, 28, 61, 27]]"
5508,"[[89], [89, 62, 49, 32, 54, 68, 28, 91, 47, 53]]"
5509,"[[49], [49, 62, 66, 50, 31, 68, 53, 65, 61, 35]]"
5510,"[[53], [53, 50, 32, 27, 72, 42, 65, 21, 49, 36]]"
5511,"[[31], [31, 27, 21, 29, 100, 65, 11, 36, 5, 50]]"
5512,"[[10], [10, 44, 50, 9, 67, 18, 36, 94, 62, 22]]"
5513,"[[21], [21, 51, 31, 34, 65, 27, 52, 100, 42, 14]]"
5514,"[[7], [7, 50, 32, 35, 89, 29, 36, 62, 1, 60]]"
5515,"[[50], [50, 36, 32, 53, 27, 89, 29, 62, 35, 61]]"
5516,"[[54], [54, 32, 48, 50, 62, 11, 49, 27, 36, 61]]"
5517,"[[7], [7, 60, 3, 36, 10, 1, 50, 29, 89, 35]]"
5518,"[[7], [7, 71, 97, 29, 95, 50, 89, 25, 98, 83]]"
5519,"[[10], [10, 50, 36, 45, 27, 60, 11, 40, 23, 35]]"
5520,"[[89], [89, 97, 94, 93, 90, 86, 20, 47, 62, 96]]"
5521,"[[65], [65, 29, 53, 50, 49, 35, 54, 42, 31, 27]]"
5522,"[[50], [50, 53, 46, 69, 35, 72, 49, 62, 42, 56]]"
5523,"[[10], [10, 62, 35, 38, 47, 89, 50, 23, 66, 46]]"
5524,"[[73], [73, 78, 80, 6, 72, 76, 45, 100, 96, 98]]"
5525,"[[50], [50, 27, 54, 36, 29, 53, 69, 89, 62, 31]]"
5526,"[[89], [89, 62, 32, 50, 68, 66, 49, 53, 35, 36]]"
5527,"[[31], [31, 61, 36, 54, 32, 66, 27, 50, 6, 29]]"
5528,"[[50], [50, 53, 21, 72, 36, 42, 49, 31, 100, 27]]"
5529,"[[2], [2, 56, 48, 3, 63, 11, 1, 60, 40, 10]]"
5530,"[[49], [49, 31, 48, 54, 100, 29, 61, 50, 32, 69]]"
5531,"[[50], [50, 53, 29, 49, 32, 69, 62, 35, 54, 89]]"
5532,"[[53], [53, 50, 29, 81, 21, 98, 83, 72, 35, 32]]"
5533,"[[62], [62, 47, 49, 42, 46, 12, 26, 14, 54, 22]]"
5534,"[[29], [29, 50, 89, 36, 8, 35, 1, 7, 10, 2]]"
5535,"[[89], [89, 50, 36, 81, 27, 29, 31, 32, 88, 53]]"
5536,"[[2], [2, 11, 29, 50, 10, 22, 25, 31, 54, 46]]"
5537,"[[81], [81, 98, 100, 5, 27, 31, 50, 21, 13, 83]]"
5538,"[[50], [50, 8, 10, 87, 83, 35, 13, 40, 36, 89]]"
5539,"[[31], [31, 27, 36, 61, 100, 65, 50, 29, 54, 21]]"
5540,"[[62], [62, 28, 68, 47, 49, 94, 86, 54, 96, 66]]"
5541,"[[27], [27, 66, 65, 31, 62, 61, 12, 14, 35, 69]]"
5542,"[[50], [50, 56, 29, 38, 22, 35, 69, 25, 10, 62]]"
5543,"[[50], [50, 36, 89, 27, 32, 29, 35, 53, 62, 91]]"
5544,"[[62], [62, 47, 6, 68, 53, 89, 32, 28, 49, 66]]"
5545,"[[53], [53, 50, 29, 54, 32, 35, 89, 72, 65, 27]]"
5546,"[[91], [91, 89, 94, 60, 86, 55, 10, 97, 48, 81]]"
5547,"[[5], [5, 21, 85, 27, 98, 100, 50, 78, 39, 80]]"
5548,"[[27], [27, 100, 98, 14, 54, 31, 72, 21, 65, 29]]"
5549,"[[83], [83, 100, 98, 81, 91, 89, 65, 29, 21, 53]]"
5550,"[[27], [27, 31, 36, 50, 78, 53, 81, 72, 5, 32]]"
5551,"[[29], [29, 89, 50, 35, 95, 91, 93, 53, 36, 32]]"
5552,"[[27], [27, 31, 65, 36, 50, 54, 61, 62, 48, 11]]"
5553,"[[62], [62, 49, 68, 50, 47, 54, 53, 66, 12, 42]]"
5554,"[[53], [53, 50, 54, 27, 65, 81, 32, 36, 46, 42]]"
5555,"[[29], [29, 8, 89, 91, 54, 81, 50, 10, 32, 46]]"
5556,"[[100], [100, 21, 85, 81, 34, 83, 22, 42, 40, 50]]"
5557,"[[50], [50, 53, 29, 65, 66, 35, 36, 49, 32, 27]]"
5558,"[[89], [89, 32, 62, 49, 68, 50, 48, 88, 36, 94]]"
5559,"[[29], [29, 50, 13, 7, 36, 15, 35, 5, 27, 53]]"
5560,"[[83], [83, 78, 89, 72, 76, 90, 82, 94, 91, 84]]"
5561,"[[29], [29, 7, 50, 8, 36, 5, 32, 15, 35, 13]]"
5562,"[[7], [7, 89, 50, 32, 72, 62, 35, 68, 29, 49]]"
5563,"[[22], [22, 10, 50, 2, 29, 81, 83, 44, 46, 25]]"
5564,"[[81], [81, 89, 50, 72, 76, 91, 53, 87, 54, 29]]"
5565,"[[11], [11, 22, 29, 21, 2, 10, 3, 14, 50, 41]]"
5566,"[[83], [83, 81, 29, 53, 98, 50, 72, 65, 89, 76]]"
5567,"[[8], [8, 10, 29, 61, 54, 11, 64, 31, 3, 36]]"
5568,"[[31], [31, 5, 27, 61, 78, 100, 81, 65, 73, 54]]"
5569,"[[50], [50, 27, 36, 35, 61, 66, 31, 29, 32, 53]]"
5570,"[[80], [80, 78, 73, 72, 89, 83, 76, 77, 79, 81]]"
5571,"[[5], [5, 85, 100, 94, 86, 21, 78, 81, 40, 98]]"
5572,"[[36], [36, 50, 62, 35, 32, 89, 10, 53, 66, 27]]"
5573,"[[89], [89, 35, 47, 53, 62, 32, 93, 12, 50, 56]]"
5574,"[[6], [6, 63, 28, 89, 48, 47, 45, 39, 62, 32]]"
5575,"[[50], [50, 53, 89, 62, 36, 81, 35, 42, 32, 18]]"
5576,"[[27], [27, 34, 31, 12, 50, 53, 6, 14, 36, 11]]"
5577,"[[62], [62, 68, 89, 49, 53, 47, 54, 50, 32, 72]]"
5578,"[[21], [21, 10, 5, 22, 81, 50, 46, 34, 27, 42]]"
5579,"[[47], [47, 62, 89, 28, 23, 9, 97, 96, 70, 54]]"
5580,"[[54], [54, 32, 46, 50, 47, 42, 65, 49, 72, 78]]"
5581,"[[89], [89, 50, 91, 87, 88, 29, 35, 95, 93, 81]]"
5582,"[[21], [21, 50, 83, 53, 42, 39, 26, 35, 65, 72]]"
5583,"[[89], [89, 81, 50, 32, 29, 54, 76, 35, 36, 97]]"
5584,"[[89], [89, 27, 36, 8, 5, 32, 50, 15, 29, 13]]"
5585,"[[73], [73, 78, 80, 77, 79, 87, 76, 92, 72, 89]]"
5586,"[[89], [89, 36, 27, 50, 62, 31, 81, 49, 32, 88]]"
5587,"[[7], [7, 10, 50, 89, 36, 32, 97, 62, 27, 60]]"
5588,"[[50], [50, 29, 10, 5, 11, 1, 36, 7, 2, 3]]"
5589,"[[89], [89, 85, 50, 81, 83, 21, 32, 91, 53, 87]]"
5590,"[[10], [10, 3, 55, 23, 6, 38, 9, 11, 12, 45]]"
5591,"[[65], [65, 21, 42, 46, 31, 100, 26, 49, 98, 54]]"
5592,"[[50], [50, 27, 72, 35, 76, 36, 53, 32, 62, 89]]"
5593,"[[21], [21, 50, 53, 65, 27, 39, 34, 42, 36, 25]]"
5594,"[[10], [10, 23, 38, 40, 11, 1, 25, 60, 14, 45]]"
5595,"[[10], [10, 98, 81, 100, 11, 3, 83, 97, 25, 1]]"
5596,"[[21], [21, 49, 31, 61, 65, 39, 62, 54, 42, 6]]"
5597,"[[68], [68, 62, 47, 53, 49, 54, 69, 42, 56, 28]]"
5598,"[[62], [62, 36, 48, 32, 50, 49, 27, 68, 66, 69]]"
5599,"[[62], [62, 50, 49, 32, 69, 56, 68, 53, 54, 89]]"
5600,"[[78], [78, 62, 68, 28, 47, 89, 61, 27, 54, 79]]"
5601,"[[27], [27, 98, 73, 80, 31, 72, 65, 36, 83, 78]]"
5602,"[[50], [50, 53, 29, 14, 97, 54, 46, 35, 49, 32]]"
5603,"[[89], [89, 8, 91, 32, 76, 93, 10, 50, 95, 62]]"
5604,"[[50], [50, 36, 27, 35, 69, 87, 29, 62, 31, 53]]"
5605,"[[72], [72, 85, 25, 73, 22, 67, 42, 100, 62, 6]]"
5606,"[[31], [31, 50, 27, 36, 29, 35, 2, 81, 53, 65]]"
5607,"[[72], [72, 89, 100, 50, 14, 42, 22, 87, 83, 98]]"
5608,"[[47], [47, 22, 12, 14, 9, 34, 70, 55, 62, 25]]"
5609,"[[29], [29, 50, 36, 49, 27, 54, 65, 31, 35, 32]]"
5610,"[[65], [65, 55, 10, 91, 53, 34, 54, 67, 14, 42]]"
5611,"[[1], [1, 2, 29, 50, 10, 35, 38, 11, 49, 46]]"
5612,"[[3], [3, 27, 11, 48, 40, 31, 1, 5, 61, 45]]"
5613,"[[86], [86, 63, 28, 94, 47, 62, 90, 68, 89, 18]]"
5614,"[[89], [89, 27, 62, 50, 36, 54, 61, 53, 35, 32]]"
5615,"[[7], [7, 56, 25, 50, 89, 32, 39, 53, 62, 42]]"
5616,"[[29], [29, 89, 50, 32, 53, 49, 35, 36, 54, 8]]"
5617,"[[7], [7, 63, 90, 97, 89, 15, 19, 82, 60, 88]]"
5618,"[[29], [29, 50, 53, 32, 35, 56, 54, 36, 62, 49]]"
5619,"[[7], [7, 94, 89, 8, 16, 95, 97, 60, 20, 19]]"
5620,"[[89], [89, 50, 53, 72, 35, 29, 91, 36, 81, 87]]"
5621,"[[50], [50, 53, 27, 65, 72, 21, 14, 61, 36, 31]]"
5622,"[[6], [6, 66, 61, 12, 62, 80, 68, 47, 73, 34]]"
5623,"[[29], [29, 50, 81, 54, 21, 98, 89, 83, 42, 53]]"
5624,"[[89], [89, 32, 27, 50, 36, 88, 62, 78, 11, 76]]"
5625,"[[11], [11, 22, 10, 3, 5, 48, 21, 1, 40, 64]]"
5626,"[[54], [54, 29, 50, 36, 89, 27, 8, 32, 62, 35]]"
5627,"[[10], [10, 22, 60, 25, 50, 94, 27, 55, 2, 81]]"
5628,"[[29], [29, 50, 36, 27, 48, 1, 35, 49, 2, 66]]"
5629,"[[41], [41, 50, 53, 21, 42, 29, 89, 72, 25, 14]]"
5630,"[[89], [89, 50, 62, 76, 53, 72, 32, 36, 68, 27]]"
5631,"[[3], [3, 31, 100, 11, 61, 51, 6, 69, 1, 85]]"
5632,"[[89], [89, 50, 53, 65, 72, 97, 91, 62, 36, 93]]"
5633,"[[50], [50, 35, 89, 29, 72, 53, 36, 32, 69, 62]]"
5634,"[[31], [31, 21, 65, 53, 42, 12, 26, 34, 61, 39]]"
5635,"[[27], [27, 62, 78, 49, 11, 65, 50, 85, 82, 31]]"
5636,"[[89], [89, 94, 50, 36, 95, 27, 1, 44, 91, 96]]"
5637,"[[31], [31, 61, 54, 27, 6, 76, 36, 32, 14, 53]]"
5638,"[[65], [65, 31, 27, 50, 29, 36, 35, 53, 66, 61]]"
5639,"[[89], [89, 62, 27, 78, 19, 73, 88, 47, 93, 80]]"
5640,"[[47], [47, 28, 62, 68, 89, 63, 93, 97, 54, 49]]"
5641,"[[83], [83, 21, 81, 72, 65, 98, 80, 53, 76, 35]]"
5642,"[[50], [50, 49, 62, 32, 54, 53, 29, 35, 42, 89]]"
5643,"[[89], [89, 31, 27, 81, 36, 50, 61, 76, 6, 53]]"
5644,"[[29], [29, 50, 89, 53, 32, 35, 36, 54, 91, 49]]"
5645,"[[100], [100, 27, 2, 11, 31, 83, 21, 98, 50, 40]]"
5646,"[[76], [76, 72, 78, 73, 89, 65, 53, 83, 54, 80]]"
5647,"[[62], [62, 94, 95, 50, 89, 49, 36, 32, 53, 69]]"
5648,"[[89], [89, 54, 62, 32, 49, 68, 47, 28, 61, 91]]"
5649,"[[29], [29, 50, 54, 49, 53, 32, 35, 42, 21, 65]]"
5650,"[[47], [47, 62, 68, 28, 38, 6, 66, 70, 61, 92]]"
5651,"[[89], [89, 100, 31, 61, 49, 32, 62, 53, 50, 36]]"
5652,"[[42], [42, 53, 98, 14, 26, 21, 50, 65, 49, 56]]"
5653,"[[50], [50, 32, 54, 53, 35, 29, 69, 62, 36, 89]]"
5654,"[[89], [89, 60, 62, 32, 50, 93, 63, 68, 97, 29]]"
5655,"[[31], [31, 21, 42, 53, 50, 61, 29, 35, 65, 14]]"
5656,"[[50], [50, 36, 27, 29, 53, 21, 35, 31, 65, 32]]"
5657,"[[35], [35, 50, 53, 36, 62, 89, 72, 27, 66, 49]]"
5658,"[[62], [62, 49, 68, 28, 89, 91, 66, 47, 48, 8]]"
5659,"[[31], [31, 14, 26, 6, 46, 65, 25, 12, 41, 69]]"
5660,"[[62], [62, 89, 47, 68, 32, 93, 54, 28, 20, 97]]"
5661,"[[22], [22, 51, 85, 81, 100, 5, 11, 52, 21, 34]]"
5662,"[[100], [100, 27, 65, 31, 81, 98, 21, 36, 51, 53]]"
5663,"[[5], [5, 89, 3, 1, 81, 88, 7, 48, 78, 97]]"
5664,"[[15], [15, 29, 36, 27, 50, 13, 1, 8, 35, 2]]"
5665,"[[54], [54, 31, 50, 53, 49, 61, 62, 89, 35, 69]]"
5666,"[[11], [11, 29, 27, 40, 21, 14, 50, 31, 32, 54]]"
5667,"[[98], [98, 21, 65, 53, 42, 50, 39, 83, 27, 26]]"
5668,"[[16], [16, 8, 95, 94, 71, 78, 19, 18, 20, 5]]"
5669,"[[50], [50, 53, 36, 46, 54, 62, 27, 31, 72, 49]]"
5670,"[[29], [29, 49, 50, 53, 54, 31, 21, 32, 89, 42]]"
5671,"[[3], [3, 11, 31, 100, 10, 61, 27, 81, 21, 41]]"
5672,"[[50], [50, 87, 36, 27, 89, 88, 35, 29, 32, 1]]"
5673,"[[50], [50, 18, 89, 10, 35, 87, 94, 36, 62, 88]]"
5674,"[[3], [3, 11, 48, 78, 54, 83, 97, 41, 100, 85]]"
5675,"[[60], [60, 50, 3, 7, 27, 29, 36, 97, 10, 78]]"
5676,"[[50], [50, 27, 36, 35, 89, 29, 31, 62, 49, 72]]"
5677,"[[53], [53, 62, 50, 32, 36, 35, 54, 29, 65, 68]]"
5678,"[[7], [7, 48, 19, 50, 35, 27, 20, 62, 32, 49]]"
5679,"[[81], [81, 100, 72, 76, 89, 97, 83, 85, 25, 21]]"
5680,"[[10], [10, 60, 8, 91, 55, 1, 94, 11, 27, 64]]"
5681,"[[89], [89, 32, 50, 62, 53, 49, 54, 29, 97, 68]]"
5682,"[[27], [27, 89, 36, 31, 8, 50, 32, 62, 61, 91]]"
5683,"[[47], [47, 10, 11, 23, 62, 38, 28, 48, 12, 68]]"
5684,"[[81], [81, 76, 89, 78, 65, 27, 91, 72, 36, 50]]"
5685,"[[89], [89, 87, 76, 66, 83, 72, 80, 35, 92, 88]]"
5686,"[[29], [29, 7, 50, 27, 31, 5, 36, 21, 53, 65]]"
5687,"[[78], [78, 80, 72, 73, 87, 76, 27, 36, 89, 50]]"
5688,"[[27], [27, 62, 65, 68, 49, 53, 98, 72, 66, 78]]"
5689,"[[62], [62, 68, 66, 18, 32, 10, 48, 49, 50, 28]]"
5690,"[[49], [49, 28, 39, 42, 21, 48, 68, 50, 12, 61]]"
5691,"[[89], [89, 62, 91, 93, 32, 36, 54, 50, 88, 35]]"
5692,"[[94], [94, 19, 62, 50, 32, 53, 42, 6, 72, 47]]"
5693,"[[42], [42, 47, 98, 14, 46, 21, 26, 34, 97, 65]]"
5694,"[[80], [80, 78, 76, 73, 89, 72, 27, 81, 53, 79]]"
5695,"[[81], [81, 53, 50, 21, 31, 72, 42, 89, 76, 49]]"
5696,"[[10], [10, 36, 50, 1, 89, 32, 35, 76, 53, 62]]"
